implementation,msg_size,threads,throughput_gbps,latency_us,cycles,L1_cache_misses,LLC_load_misses,LLC_store_misses,context_switches
A1,64,1,0.0359,14.27,6948873567,79498254,46696,25571,294871
A1,64,2,0.0704,7.27,13738688263,155328644,17966,29965,571458
A1,64,4,0.1298,3.94,29936070335,323615187,25240,1682,767701
A1,64,8,0.1767,2.90,61257732336,609431133,15656,3361,1016727
A1,256,1,0.1409,14.54,7037448319,79903873,19790,55904,280385
A1,256,2,0.2867,7.14,14112943218,162830049,4577,549,594663
A1,256,4,0.5657,3.62,30701024432,366592595,21332,965,715544
A1,256,8,0.7643,2.68,68145394794,627544399,27738,10298,784140
A1,1024,1,0.5698,14.38,7206826717,84774758,7840,2287,286205
A1,1024,2,1.1320,7.24,14632092015,167945916,15067,2050,544020
A1,1024,4,2.0965,3.91,30556917005,357309767,31027,2219,741015
A1,1024,8,2.8955,2.83,63127129561,618635166,25127,1440,969611
A1,4096,1,2.1767,15.05,7228879580,100790128,16898,447,285669
A1,4096,2,4.3341,7.56,14449863850,199784662,20802,3811,570920
A1,4096,4,7.5924,4.32,29348829959,396046201,21343,329,862245
A1,4096,8,11.0725,2.96,62243131314,694494329,38972,6334,1004253
A2,64,1,0.2322,2.20,6789802630,72799636,32914,23553,321189
A2,64,2,0.4990,1.03,15383691559,154523914,9370,3295,506930
A2,64,4,0.9227,0.55,32826178900,335351314,13513,4138,619264
A2,64,8,1.3585,0.38,76126655817,583474228,27032,8196,352696
A2,256,1,1.0052,2.04,7727385825,85051301,10000,1018,250974
A2,256,2,2.0091,1.02,16215187153,166746908,11848,5420,445851
A2,256,4,3.8922,0.53,34085337933,361208432,38907,131,505727
A2,256,8,5.3496,0.38,73483607259,644292283,39447,3497,396471
A2,1024,1,3.8015,2.15,7965124518,95590270,7462,3835,232849
A2,1024,2,7.4921,1.09,15576627660,189838898,25137,904,483858
A2,1024,4,14.4613,0.57,31542931889,389480333,107044,125,748888
A2,1024,8,19.9267,0.41,57800627527,712680922,172916,1269,971910
A2,4096,1,12.6778,2.58,8538044685,159929180,15607,16428,181297
A2,4096,2,25.4292,1.29,16795889974,312920950,316358,4706,379193
A2,4096,4,49.3886,0.66,33134863814,623864159,1387301,238,563201
A2,4096,8,71.5685,0.46,55205980043,957679436,4890541,5352,756074
A3,64,1,0.1472,3.48,5751848358,70985504,6888,1955,324648
A3,64,2,0.2978,1.72,11586820451,145617174,3502,3241,666773
A3,64,4,0.4657,1.10,22078473485,291299665,5982,165,1176101
A3,64,8,0.6332,0.81,42357151395,672241533,16457,6469,1523758
A3,256,1,0.6218,3.29,6018369299,80122349,4231,1951,328563
A3,256,2,1.2323,1.66,11944110658,158655701,3841,4440,647063
A3,256,4,2.0641,0.99,22889045378,311103285,6413,1129,1023834
A3,256,8,2.9263,0.70,41055407234,627283047,24824,2687,1507400
A3,1024,1,2.4103,3.40,4709364939,58198099,4723,646,408235
A3,1024,2,4.9304,1.66,9684108505,123505282,4218,6634,822415
A3,1024,4,7.8109,1.05,20881783444,290756125,6087,420,1123994
A3,1024,8,10.8064,0.76,43202594240,686765286,12179,4738,1380215
A3,4096,1,9.1941,3.56,6522952564,150549738,4688,9738,301471
A3,4096,2,17.9081,1.83,12516375125,289325794,5249,1546,611193
A3,4096,4,30.5632,1.07,25391217669,552558629,10045,1339,845435
A3,4096,8,39.5920,0.83,42013684493,823645061,31181,9375,1280124
